Canonical	Mappable	Mapped	Names	Description	Link
amon-lhaw	1	1	Amon Lhaw	The Hill of Hearing in the eastern Emyn Muil	http://www.glyphweb.com/arda/a/amonlhaw.html
amon-sul	1	1	Amon Súl / Amon Sûl	The hill that Men called Weathertop	http://www.glyphweb.com/arda/a/amonsul.html
amon-sul	1	1	Tower of Amon Súl / Tower of Amon Sûl	An ancient stronghold of Arnor	http://www.glyphweb.com/arda/t/towerofamonsul.html
amon-sul	1	1	Weathertop	Chief of the Weather Hills	http://www.glyphweb.com/arda/w/weathertop.html
andeithel	1	1	Langwell / River Langwell	One of the sources of the Great River	http://www.glyphweb.com/arda/l/langwell.html
andlo	1	1	Long Marshes	The marshlands east of Mirkwood	http://www.glyphweb.com/arda/l/longmarshes.html
andnen	1	1	Long Lake	The lake on which Esgaroth stood	http://www.glyphweb.com/arda/l/longlake.html
andrast	1	1	Andrast	The peninsula of Ras Morthil	http://www.glyphweb.com/arda/a/andrast.html
andrath	1	1	Andrath	The Greenway south from Bree	http://www.glyphweb.com/arda/a/andrath.html
andrath	1	1	Great Road (north to south)	The North-South Road that joined the Two Kingdoms	http://www.glyphweb.com/arda/g/greatroad2.html
andrath	1	1	North-South Road	The ancient road that linked the North- and South-kingdoms	http://www.glyphweb.com/arda/n/northsouthroad.html
anduin	1	1	Anduin / River Anduin	The Great River	http://www.glyphweb.com/arda/a/anduin.html
anduin	1	1	Great River	The River Anduin	http://www.glyphweb.com/arda/g/greatriver.html
anduin	1	1	Langflood	The Mannish name for the Anduin	http://www.glyphweb.com/arda/l/langflood.html
anfalas	1	1	Langstrand		http://www.glyphweb.com/arda/l/langstrand.html
anfalas	1	1	Anfalas		http://www.glyphweb.com/arda/a/anfalas.html
angmar	1	1	Angmar		http://www.glyphweb.com/arda/a/angmar.html
angren	1	1	Angren / Sîr Angren	The Elvish name for the River Isen	http://www.glyphweb.com/arda/a/angren.html
angren	1	1	Isen / River Isen	The iron river that flowed past the gates of Isengard	http://www.glyphweb.com/arda/i/isen.html
angrenost	1	1	Angrenost	The ringed fortress also called Isengard	http://www.glyphweb.com/arda/a/angrenost.html
angrenost	1	1	Isengard	The fortress of Saruman	http://www.glyphweb.com/arda/i/isengard.html
annon-caradhras	1	1	Redhorn Gate	The 'gate' of the Misty Mountains	http://www.glyphweb.com/arda/r/redhorngate.html
annon-caradhras	1	1	Redhorn Pass	The pass beneath Caradhras	http://www.glyphweb.com/arda/r/redhornpass.html
annuminas	1	1	Annúminas	Ancient seat of the Kings of Arnor	http://www.glyphweb.com/arda/a/annuminas.html
anorien	1	1	Anórien		http://www.glyphweb.com/arda/a/anorien.html
argirith	1	1	Cirith Forn en Andrath	The High Pass through the Misty Mountains	http://www.glyphweb.com/arda/c/cirithfornenandrath.html
argirith	1	1	High Pass	The northern pass through the Misty Mountains	http://www.glyphweb.com/arda/h/highpass.html
argonath	1	1	Argonath	The Pillars of the Kings	http://www.glyphweb.com/arda/a/argonath.html
argonath	1	1	Gates of Argonath	The Pillars of the Kings	http://www.glyphweb.com/arda/g/gatesofargonath.html
arthedain	1	1	Arthedain		http://www.glyphweb.com/arda/a/arthedain.html
athrad-angren	1	1	Athrad Angren	The Fords of Isen	http://www.glyphweb.com/arda/a/athradangren.html
athrad-angren	1	1	Crossings of Isen	The Fords across the River Isen	http://www.glyphweb.com/arda/c/crossingsofisen.html
athrad-angren	1	1	Fords of Isen	The crossing-point of the River Isen	http://www.glyphweb.com/arda/f/fordsofisen.html
athrad-angren	1	1	Ethraid Engrin	An old name for the Fords of Isen	http://www.glyphweb.com/arda/e/ethraidengrin.html
athrad-iaur	1	1	Old Ford	The main crossing of the Anduin in the north	http://www.glyphweb.com/arda/o/oldford.html
athrad-imladris	1	1	Ford of Bruinen	The crossing of the Loudwater	http://www.glyphweb.com/arda/f/fordofbruinen.html
athrad-imladris	1	1	Ford of Rivendell	The crossing of the Bruinen	http://www.glyphweb.com/arda/f/fordofrivendell.html
athrad-onodlo	1	1	Entwade	The crossings of Entwash	http://www.glyphweb.com/arda/e/entwade.html
barad-dur	1	1	Barad-dúr / Barad-dûr	The Dark Tower of Sauron	http://www.glyphweb.com/arda/b/baraddur.html
barad-dur	1	1	Dark Tower	The Barad-dûr	http://www.glyphweb.com/arda/d/darktower.html
barad-dur	1	1	Lugbúrz	Saurons Dark Tower	http://www.glyphweb.com/arda/l/lugburz.html
barad-durin	1	1	Durin’s Tower / Durin's Tower	The tower on Celebdils peak	http://www.glyphweb.com/arda/d/durinstower.html
baranduin	1	1	Baranduin / River Baranduin	The river called Brandywine by the Shire-hobbits	http://www.glyphweb.com/arda/b/baranduin.html
baranduin	1	1	Branda-nîn	The Hobbits name for the Brandywine	http://www.glyphweb.com/arda/b/brandanin.html
baranduin	1	1	Brandywine / Brandywine River	The eastern border-river of the Shire	http://www.glyphweb.com/arda/b/brandywine.html
baranduiniant	1	1	Brandywine Bridge	The point where the East Road crossed the Brandywine	http://www.glyphweb.com/arda/b/brandywinebridge.html
baranduiniant	1	1	Bridge of Stonebows	The ancient name for the Brandywine Bridge	http://www.glyphweb.com/arda/b/bridgeofstonebows.html
barannor	1	1	Dunland		http://www.glyphweb.com/arda/d/dunland.html
barannorath	1	1	Brown Lands		http://www.glyphweb.com/arda/b/brownlands.html
belegaer	1	1	Belegaer	The Great Sea	http://www.glyphweb.com/arda/b/belegaer.html
belegaer	1	1	Great Water	A name for the wide ocean of Belegaer	http://www.glyphweb.com/arda/g/greatwater.html
belegaer	1	1	Western Sea	The Great Sea west of Middle-earth	http://www.glyphweb.com/arda/w/westernsea.html
belegaer	1	1	Great Sea of the West / Great Sea (of the West)	The immense ocean to the west of Middle-earth	http://www.glyphweb.com/arda/g/greatsea.html
belfalas	1	1	Belfalas		http://www.glyphweb.com/arda/b/belfalas.html
bree	1	1	Bree	An ancient township of Eriador	http://www.glyphweb.com/arda/b/bree.html
bree	1	1	Inn of Bree		http://www.glyphweb.com/arda/i/innofbree.html
bree	1	1	Bree-land		http://www.glyphweb.com/arda/b/breeland.html
bruinen	1	1	Bruinen / River Bruinen	The Elves name for the Loudwater	http://www.glyphweb.com/arda/b/bruinen.html
bruinen	1	1	Loudwater	The river the Elves called Bruinen	http://www.glyphweb.com/arda/l/loudwater.html
cair-andros	1	1	Cair Andros	The Ship of Long-foam	http://www.glyphweb.com/arda/c/cairandros.html
cair-andros	1	1	Ship of Long-foam	The island of Cair Andros	http://www.glyphweb.com/arda/s/shipoflongfoam.html
calembel	1	1	Calembel	The township on the River Ciril	http://www.glyphweb.com/arda/c/calembel.html
calenardhon	1	1	Calenardhon		http://www.glyphweb.com/arda/c/calenardhon.html
calenardhon	1	1	Rochand		http://www.glyphweb.com/arda/r/rochand.html
calenardhon	1	1	Rohan		http://www.glyphweb.com/arda/r/rohan.html
calenardhon	1	1	Riddermark		http://www.glyphweb.com/arda/r/riddermark.html
calenhad	1	1	Calenhad	Sixth of the Beacons of Gondor	http://www.glyphweb.com/arda/c/calenhad.html
calenrath	1	1	Greenway	The remnant of the old North-South Road	http://www.glyphweb.com/arda/g/greenway.html
carach-angren	1	1	Carach Angren	The pass between Gorgoroth and Udûn	http://www.glyphweb.com/arda/c/carachangren.html
carach-angren	1	1	Isenmouthe	The iron jaws to the south of Udûn	http://www.glyphweb.com/arda/i/isenmouthe.html
caradhras	1	1	Baraz	The short form of Barazinbar	http://www.glyphweb.com/arda/b/baraz.html
caradhras	1	1	Barazinbar	The Dwarvish name for the Redhorn	http://www.glyphweb.com/arda/b/barazinbar.html
caradhras	1	1	Caradhras	The Redhorn	http://www.glyphweb.com/arda/c/caradhras.html
caradhras	1	1	Redhorn	The Mannish name for Caradhras	http://www.glyphweb.com/arda/r/redhorn.html
carag	1	1	Carrock	The rocky river-island named by Beorn	http://www.glyphweb.com/arda/c/carrock.html
caras-galdhon	1	1	Caras Galadhon	The tree-city of the Galadhrim	http://www.glyphweb.com/arda/c/carasgaladhon.html
caras-perian	1	1	Hobbiton	The township beneath the Hill	http://www.glyphweb.com/arda/h/hobbiton.html
carchost	1	1	Carchost	One of the Towers that guarded the Black Gate	http://www.glyphweb.com/arda/c/carchost.html
cardolan	1	1	Cardolan		http://www.glyphweb.com/arda/c/cardolan.html
carn-dum	1	1	Carn Dúm / Carn Dûm	Mountain Fortress of Angmar	http://www.glyphweb.com/arda/c/carndum.html
carnen	1	1	Carnen	The long river known as the Redwater	http://www.glyphweb.com/arda/c/carnen.html
carnen	1	1	Redwater	The red river out of the Iron Hills	http://www.glyphweb.com/arda/r/redwater.html
celduin	1	1	Running / River Running	The river that flowed out of the Lonely Mountain	http://www.glyphweb.com/arda/r/running.html
celduin	1	1	Celduin / River Celduin	The long river that flowed out of Erebor	http://www.glyphweb.com/arda/c/celduin.html
celebdil	1	1	Celebdil	The mountain known as the Silvertine	http://www.glyphweb.com/arda/c/celebdil.html
celebdil	1	1	Silvertine	The Mannish name for Zirakzigil	http://www.glyphweb.com/arda/s/silvertine.html
celebdil	1	1	Zirak	A Dwarvish name for Zirakzigil	http://www.glyphweb.com/arda/z/zirak.html
celebdil	1	1	Kibil-nâla	The Dwarves name for the River Silverlode	http://www.glyphweb.com/arda/k/kibilnala.html
celebdil	1	1	Zirakzigil	The Silvertine	http://www.glyphweb.com/arda/z/zirakzigil.html
celebrant	1	1	Silverlode / River Silverlode	The river the Elves called Celebrant	http://www.glyphweb.com/arda/s/silverlode.html
celebrant	1	1	Celebrant	The Elves name for the River Silverlode	http://www.glyphweb.com/arda/c/celebrant.html
cerin-amroth	1	1	Cerin Amroth	The mound at the heart of Lórien	http://www.glyphweb.com/arda/c/cerinamroth.html
cil-rohan	1	1	Gap of Rohan	The breach between the Misty Mountains and the White	http://www.glyphweb.com/arda/g/gapofrohan.html
ciril	1	1	Kiril / Ciril / River Ciril	A minor river of western Lamedon	http://www.glyphweb.com/arda/c/ciril.html
cirith-gorgor	1	1	Cirith Gorgor	The Haunted Pass	http://www.glyphweb.com/arda/c/cirithgorgor.html
cirith-ungol	1	1	Cirith Dúath	The Pass of Shadows	http://www.glyphweb.com/arda/c/cirithduath.html
cirith-ungol	1	1	Cirith Ungol	The high pass where Shelob lurked	http://www.glyphweb.com/arda/c/cirithungol.html
cof-belfalas	1	1	Bay of Belfalas	The great bay to the south of Gondor	http://www.glyphweb.com/arda/b/bayofbelfalas.html
cof-belfalas	1	1	Great Gulf	A wide gulf of Belegaer	http://www.glyphweb.com/arda/g/greatgulf.html
cof-lhun	1	1	Gulf of Lhún / Gulf of Lhûn	An immense northern inlet of the Great Sea	http://www.glyphweb.com/arda/l/lhungulf.html
cof-lhun	1	1	Gulf of Lune	The great northern firth of Middle-earth	http://www.glyphweb.com/arda/g/gulfoflune.html
dagorlad	1	1	Battle Plain	The plain before the Gates of Mordor	http://www.glyphweb.com/arda/b/battleplain.html
dagorlad	1	1	Dagorlad	The Battle Plain	http://www.glyphweb.com/arda/d/dagorlad.html
dol-amroth	1	1	Dol Amroth		http://www.glyphweb.com/arda/d/dolamroth.html
dol-guldur	1	1	Dol Guldur	The lair of the Necromancer	http://www.glyphweb.com/arda/d/dolguldur.html
dor-en-ernil	1	1	Dor-en-Ernil		http://www.glyphweb.com/arda/d/dorenernil.html
dorwinion	1	1	Dorwinion		http://www.glyphweb.com/arda/d/dorwinion.html
druwaith-iaur	1	1	Drúwaith Iaur		http://www.glyphweb.com/arda/d/druwaithiaur.html
dunharrow	1	1	Dúnharg	The original form of Dunharrow	http://www.glyphweb.com/arda/d/dunharg.html
dunharrow	1	1	Dunharrow	A refuge in the White Mountains	http://www.glyphweb.com/arda/d/dunharrow.html
durthang	1	1	Durthang	An old castle of northern Mordor	http://www.glyphweb.com/arda/d/durthang.html
east-emnet	1	1	Eastemnet	The eastern lands of Rohan	http://www.glyphweb.com/arda/e/eastemnet.html
edhellond	1	1	Edhellond	A far southern haven of the Elves	http://www.glyphweb.com/arda/e/edhellond.html
edoras	1	1	Edoras	The Courts of Rohan	http://www.glyphweb.com/arda/e/edoras.html
eilenach	1	1	Eilenach	One of the seven Beacons of Gondor	http://www.glyphweb.com/arda/e/eilenach.html
elostirion	1	1	Elostirion	Tallest tower of the Tower Hills	http://www.glyphweb.com/arda/e/elostirion.html
emyn-angren	1	1	Iron Hills	The northern range settled by Grór	http://www.glyphweb.com/arda/i/ironhills.html
emyn-arnen	1	1	Emyn Arnen	The central uplands of Ithilien	http://www.glyphweb.com/arda/e/emynarnen.html
emyn-beraid	1	1	Emyn Beraid	The Tower Hills	http://www.glyphweb.com/arda/e/emynberaid.html
emyn-beraid	1	1	Tower Hills	The Emyn Beraid west of the Shire	http://www.glyphweb.com/arda/t/towerhills.html
emyn-formen	1	1	North Downs	The hills above Fornost	http://www.glyphweb.com/arda/n/northdowns.html
emyn-haeron	1	1	Far Downs	The western borderland of the Shire	http://www.glyphweb.com/arda/f/fardowns.html
emyn-harad	1	1	South Downs	The downlands of central Eriador	http://www.glyphweb.com/arda/s/southdowns.html
emyn-lasgalen	1	1	Emyn-nu-Fuin	The Mountains of Mirkwood	http://www.glyphweb.com/arda/e/emynnufuin.html
emyn-muil	1	1	Emyn Muil	The hill-range around Nen Hithoel	http://www.glyphweb.com/arda/e/emynmuil.html
emyn-nim	1	1	White Downs	The chalk downs of the Shires Westfarthing	http://www.glyphweb.com/arda/w/whitedowns.html
emyn-ring	1	1	Coldfells	An upland region north of Rivendell	http://www.glyphweb.com/arda/c/coldfells.html
emyn-sul	1	1	Weather Hills	The range of hills running north from Weathertop	http://www.glyphweb.com/arda/w/weatherhills.html
emyn-uial	1	1	Emyn Uial	The Hills of Evendim	http://www.glyphweb.com/arda/e/emynuial.html
emyn-uial	1	1	Hills of Evendim	The twilight hills above Annúminas	http://www.glyphweb.com/arda/h/hillsofevendim.html
enedwaith	1	1	Enedwaith		http://www.glyphweb.com/arda/e/enedwaith.html
ennorath	1	1	Endóre	A very rare Quenya name for Middle-earth	http://www.glyphweb.com/arda/e/endore.html
ennorath	1	1	Ennor		http://www.glyphweb.com/arda/e/ennor.html
ennorath	1	1	Middle-earth		http://www.glyphweb.com/arda/m/middleearth.html
ennorath	1	1	Endor		http://www.glyphweb.com/arda/e/endor.html
ennorath	1	1	Hither Lands		http://www.glyphweb.com/arda/h/hitherlands.html
ennyn-moria	1	1	Doors of Durin	The West-gate of Moria	http://www.glyphweb.com/arda/d/doorsofdurin.html
ennyn-moria	1	1	Moria Gate	The doors of Khazad-dûm	http://www.glyphweb.com/arda/m/moriagate.html
ennyn-moria	1	1	West-gate of Moria	The Doors of Durin	http://www.glyphweb.com/arda/w/westgateofmoria.html
ennynion-rhun-moria	1	1	Moria Gate	The doors of Khazad-dûm	http://www.glyphweb.com/arda/m/moriagate.html
ephel-duath	1	1	East-mountains	A name for the Ephel Dúath	http://www.glyphweb.com/arda/e/eastmountains.html
ephel-duath	1	1	Ephel Dúath	The Mountains of Shadow on the borders of Mordor	http://www.glyphweb.com/arda/e/ephelduath.html
ephel-duath	1	1	Mountains of Shadow (Ephel Dúath)	The western border of Mordor	http://www.glyphweb.com/arda/m/mountainsofshadow2.html
erebor	1	1	Erebor	The Lonely Mountain	http://www.glyphweb.com/arda/e/erebor.html
erebor	1	1	Kingdom under the Mountain	The Dwarf-kingdom of Erebor	http://www.glyphweb.com/arda/k/kingdomunderthemountain.html
erebor	1	1	Lonely Mountain	The Dwarf-kingdom of Erebor	http://www.glyphweb.com/arda/l/lonelymountain.html
erech	1	1	Erech	The hill at the head of the Blackroot Vale	http://www.glyphweb.com/arda/e/erech.html
erech	1	1	Hill of Erech	The hill of the Black Stone	http://www.glyphweb.com/arda/h/hilloferech.html
erech	1	1	Stone of Erech		http://www.glyphweb.com/arda/s/stoneoferech.html
ered-angmar	1	1	Mountains of Angmar	The northernmost Misty Mountains	http://www.glyphweb.com/arda/m/mountainsofangmar.html
ered-gorgoroth	1	1	Mountains of Terror	The Ered Gorgoroth	http://www.glyphweb.com/arda/m/mountainsofterror.html
ered-lasgalen	1	1	Emyn Duir	The Dark Mountains of Greenwood the Great	http://www.glyphweb.com/arda/e/emynduir.html
ered-lindon	1	1	Blue Mountains	The northwestern mountain-chain of Middle-earth	http://www.glyphweb.com/arda/b/bluemountains.html
ered-lindon	1	1	Ered Lindon	The mountain-borders of the Elf-kingdom of Lindon	http://www.glyphweb.com/arda/e/eredlindon.html
ered-lindon	1	1	Ered Luin	The Blue Mountains	http://www.glyphweb.com/arda/e/eredluin.html
ered-lindon	1	1	Mountains of Lune	The western edge of Eriador	http://www.glyphweb.com/arda/m/mountainsoflune.html
ered-lithui	1	1	Ash Mountains	The range that formed Mordors northern border	http://www.glyphweb.com/arda/a/ashmountains.html
ered-lithui	1	1	Ashen Mountains	The northern fences of Mordor	http://www.glyphweb.com/arda/a/ashenmountains.html
ered-lithui	1	1	Ered Lithui	The Ashen Mountains north of Mordor	http://www.glyphweb.com/arda/e/eredlithui.html
ered-mithrin	1	1	Ered Mithrin	The Elvish name for the Grey Mountains	http://www.glyphweb.com/arda/e/eredmithrin.html
ered-mithrin	1	1	Grey Mountains	A mountain-range of northern Middle-earth	http://www.glyphweb.com/arda/g/greymountains.html
ered-moria	1	1	Mountains of Moria	The three peaks above old Khazad-dûm	http://www.glyphweb.com/arda/m/mountainsofmoria.html
ered-nimrais	1	1	Ered Nimrais	The Elvish name for the White Mountains	http://www.glyphweb.com/arda/e/erednimrais.html
ered-nimrais	1	1	White Mountains	The snow-capped peaks that separated Gondor from Rohan	http://www.glyphweb.com/arda/w/whitemountains.html
ered-wethrin	1	1	Mountains of Shadow / Ered Wethrin / Mountains of Shadow (Ered Wethrin)	The northern range of the Ered Wethrin	http://www.glyphweb.com/arda/m/mountainsofshadow.html
ered-wethrin	1	1	Ered Wethrin	The Mountains of Shadow	http://www.glyphweb.com/arda/e/eredwethrin.html
eregion	1	1	Hollin		http://www.glyphweb.com/arda/h/hollin.html
eregion	1	1	Eregion		http://www.glyphweb.com/arda/e/eregion.html
erelas	1	1	Erelas	The fourth Beacon	http://www.glyphweb.com/arda/e/erelas.html
eriador	1	1	Eriador		http://www.glyphweb.com/arda/e/eriador.html
eriador	1	1	Lone-lands		http://www.glyphweb.com/arda/l/lonelands.html
erui	1	1	Erui / River Erui	The river that flowed out of Lossarnach	http://www.glyphweb.com/arda/e/erui.html
eryn-druadan	1	1	Drúadan Forest	The forest beneath the Eilenach Beacon	http://www.glyphweb.com/arda/d/druadanforest.html
eryn-druadan	1	1	Tawar-in-Drúedain	The Drúadan Forest	http://www.glyphweb.com/arda/t/tawarindruedain.html
eryn-firien	1	1	Firien Wood	The mountain-wood beneath Halifirien	http://www.glyphweb.com/arda/f/firienwood.html
eryn-firien	1	1	Firienholt	The wood beneath the Halifirien	http://www.glyphweb.com/arda/f/firienholt.html
eryn-firien	1	1	Halifirien Wood	The forest beneath the Halifirien	http://www.glyphweb.com/arda/h/halifirienwood.html
eryn-iaur	1	1	Old Forest	A strange northern remnant of the great forest of the Second Age	http://www.glyphweb.com/arda/o/oldforest.html
eryn-lasgalen	1	1	Dark Mountains	An old name for the Mountains of Mirkwood	http://www.glyphweb.com/arda/d/darkmountains.html
eryn-lasgalen	1	1	Eryn Galen	The Greenwood	http://www.glyphweb.com/arda/e/eryngalen.html
eryn-lasgalen	1	1	Eryn Lasgalen	The Wood of Greenleaves	http://www.glyphweb.com/arda/e/erynlasgalen.html
eryn-lasgalen	1	1	Greenwood the Great	The former name of Mirkwood	http://www.glyphweb.com/arda/g/greenwoodthegreat.html
eryn-lasgalen	1	1	Mirkwood	Greatest of the forests of Middle-earth	http://www.glyphweb.com/arda/m/mirkwood.html
eryn-lasgalen	1	1	Mountains of Mirkwood	The central highlands of Middle-earths greatest forest	http://www.glyphweb.com/arda/m/mountainsofmirkwood.html
eryn-lasgalen	1	1	Taur-e-Ndaedelos	The Forest of the Great Fear	http://www.glyphweb.com/arda/t/taurendaedelos.html
eryn-lasgalen	1	1	"Taur-nu-Fuin / Taur-nu-Fuin, Dorthonion"	The Forest under Nightshade	http://www.glyphweb.com/arda/t/taurnufuin.html
eryn-lasgalen	1	1	"Taur-nu-Fuin / Taur-nu-Fuin, Mirkwood"	The Elves name for Mirkwood	http://www.glyphweb.com/arda/t/taurnufuin2.html
eryn-lasgalen	1	1	The Forest / Forest	A term sometimes used for Mirkwood	http://www.glyphweb.com/arda/f/forest.html
eryn-lasgalen	1	1	The Wood / Wood	The greatest of Middle-earths forests	http://www.glyphweb.com/arda/w/wood.html
eryn-lasgalen	1	1	Wood of Greenleaves	Eryn Lasgalen	http://www.glyphweb.com/arda/w/woodofgreenleaves.html
eryn-morn	1	1	Dimholt	The dark wood beneath the Dwimorberg	http://www.glyphweb.com/arda/d/dimholt.html
eryn-ost	1	1	Chetwood	The wood of the Bree-land	http://www.glyphweb.com/arda/c/chetwood.html
eryn-teryg	1	1	Trollshaws	The Troll-woods west of Rivendell	http://www.glyphweb.com/arda/t/trollshaws.html
eryn-uireb	1	1	Everholt	The boar-wood beneath the Halifirien	http://www.glyphweb.com/arda/e/everholt.html
eryn-vorn	1	1	Eryn Vorn	The wooded cape beneath the mouths of Baranduin	http://www.glyphweb.com/arda/e/erynvorn.html
erynduin	1	1	Forest River	The river of northern Mirkwood	http://www.glyphweb.com/arda/f/forestriver.html
erynrath	1	1	Forest Road	The road that ran through Mirkwood	http://www.glyphweb.com/arda/f/forestroad.html
esgaroth	1	1	Esgaroth	A township on the shores of the Long Lake	http://www.glyphweb.com/arda/e/esgaroth.html
esgaroth	1	1	Lake-town	A township of Men on the Long Lake	http://www.glyphweb.com/arda/l/laketown.html
ethir-anduin	1	1	Ethir Anduin	The estuary of the Great River Anduin	http://www.glyphweb.com/arda/e/ethiranduin.html
ethir-anduin	1	1	Mouths of Anduin	The wide estuary region known as the Ethir	http://www.glyphweb.com/arda/m/mouthsofanduin.html
ethir-onodlo	1	1	Mouths of Entwash	The wetlands of the Entwash delta	http://www.glyphweb.com/arda/m/mouthsofentwash.html
ethir-onodlo	1	1	Mouths of Onodló	The delta of the River Entwash	http://www.glyphweb.com/arda/m/mouthsofonodlo.html
ethraid-erui	1	1	Crossings of Erui	The place of Eldacars revenge	http://www.glyphweb.com/arda/c/crossingsoferui.html
ethraid-poros	1	1	Crossing of Poros / Crossings of Poros	The ford that led into South Gondor	http://www.glyphweb.com/arda/c/crossingsofporos.html
ethraid-poros	1	1	Fords of Poros	The gateway to Ithilien	http://www.glyphweb.com/arda/f/fordsofporos.html
ethring	1	1	Ethring	The township below the wells of Ringló	http://www.glyphweb.com/arda/e/ethring.html
fangorn	1	1	Aldalómë	A name for Fangorn Forest	http://www.glyphweb.com/arda/a/aldalome.html
fangorn	1	1	Ambaróna	An ancient name for Fangorn Forest	http://www.glyphweb.com/arda/a/ambarona.html
fangorn	1	1	East End	An old name for Fangorn Forest	http://www.glyphweb.com/arda/e/eastend.html
fangorn	1	1	Entwood	A name among Men for the Forest of Fangorn	http://www.glyphweb.com/arda/e/entwood.html
fangorn	1	1	Fangorn Forest	Last home of the Ents in the West of Middle-earth	http://www.glyphweb.com/arda/f/fangornforest.html
fangorn	1	1	Forest of Fangorn	The ancient forest beneath the southern Misty Mountains	http://www.glyphweb.com/arda/f/forestoffangorn.html
fangorn	1	1	Tauremorna	The Forest of Fangorn	http://www.glyphweb.com/arda/t/tauremorna.html
fanuidhlol	1	1	Bundushathúr / Bundushathûr	The mountain the Elves called Fanuidhol	http://www.glyphweb.com/arda/b/bundushathur.html
fanuidhol	1	1	Cloudyhead	The mountain named Fanuidhol	http://www.glyphweb.com/arda/c/cloudyhead.html
fanuidhol	1	1	Fanuidhol	Cloudyhead	http://www.glyphweb.com/arda/f/fanuidhol.html
fanuidhol	1	1	Shathúr / Shathûr	A Dwarvish name for the mountain Fanuidhol	http://www.glyphweb.com/arda/s/shathur.html
far-harad	1	1	Far Harad		http://www.glyphweb.com/arda/f/farharad.html
forithilien	1	1	North Ithilien		http://www.glyphweb.com/arda/n/northithilien.html
forlindon	1	1	Forlindon		http://www.glyphweb.com/arda/f/forlindon.html
forlond	1	1	Forlond	A harbour of the Elves of Lindon	http://www.glyphweb.com/arda/f/forlond.html
fornost-erain	1	1	Fornost / Fornost Erain	The city of the Kings of Arthedain	http://www.glyphweb.com/arda/f/fornost.html
fornost-erain	1	1	Kings' Norbury	The Hobbits name for Fornost	http://www.glyphweb.com/arda/k/kingsnorbury.html
fornost-erain	1	1	Norbury of the Kings	Fornost on the North Downs	http://www.glyphweb.com/arda/n/norburyofthekings.html
forochel	1	1	Bay of Forochel	The icy bay of the distant north	http://www.glyphweb.com/arda/b/bayofforochel.html
forochel	1	1	Forochel	The northern icebay of Middle-earth	http://www.glyphweb.com/arda/f/forochel.html
forochel	1	1	Icebay of Forochel	The great northern bay of Middle-earth	http://www.glyphweb.com/arda/i/icebayofforochel.html
forodwaith	1	1	"Forodwaith, Land"		http://www.glyphweb.com/arda/f/forodwaith.html
forodwaith	1	1	Northerland		http://www.glyphweb.com/arda/n/northerland.html
fortofn	1	1	North Undeep	The first of the two westward loops in the Anduins course	http://www.glyphweb.com/arda/n/northundeep.html
gilrain	1	1	Gilrain / River Gilrain	The western border-river of Lebennin	http://www.glyphweb.com/arda/g/gilrain.html
glanduin	1	1	Glanduin / River Glanduin	The river that flowed down into Swanfleet	http://www.glyphweb.com/arda/g/glanduin.html
glanhir	1	1	Glanhír	The Mering Stream	http://www.glyphweb.com/arda/g/glanhir.html
glanhir	1	1	Mering Stream	Eastern border-river of Rohan	http://www.glyphweb.com/arda/m/meringstream.html
gondor	1	1	Gondor		http://www.glyphweb.com/arda/g/gondor.html
gondor	1	1	South-kingdom		http://www.glyphweb.com/arda/s/southkingdom.html
