Canonical,Language,Letters,Mode,Last Modified
emyn-muil,Sindarin,Tengwar,General Use,1277884657
khand,Unknown,Tengwar,General Use,1277877115
lond-daer,Sindarin,Tengwar,General Use,1277877021
edhellond,Sindarin,Tengwar,General Use,1277876989
minas-morgul,Sindarin,Tengwar,General Use,1277876957
minas-tirith,Sindarin,Tengwar,General Use,1277876917
osgiliath,Sindarin,Tengwar,General Use,1277876879
morannon,Sindarin,Tengwar,General Use,1277876844
rath-harad-iaur,Sindarin,Tengwar,General Use,1277876809
athrad-iaur,Sindarin,Tengwar,General Use,1277876599
angrenost,Sindarin,Tengwar,General Use,1277876433
eryn-lasgalen,Sindarin,Tengwar,General Use,1277876202
hithaeglir,Sindarin,Tengwar,General Use,1277876154
arthedain,Sindarin,Tengwar,General Use,1277876083
forochel,Sindarin,Tengwar,General Use,1277695650
mitheithel,Sindarin,Tengwar,General Use,1277695617
baranduin,Sindarin,Tengwar,General Use,1277695593
annuminas,Sindarin,Tengwar,General Use,1277695535
men-daer-rhun-annui,Sindarin,Tengwar,General Use,1277695504
andrath,Sindarin,Tengwar,General Use,1277695409
lo,Sindarin,Tengwar,General Use,1277695015
nenuial,Sindarin,Tengwar,General Use,1277694949
in-emyn,Sindarin,Tengwar,General Use,1277694868
eryn-ost,Sindarin,Tengwar,General Use,1277694838
emyn-uial,Sindarin,Tengwar,General Use,1277694786
nurnen,Sindarin,Tengwar,General Use,1277694656
haradwaith,Sindarin,Tengwar,General Use,1277694611
angmar,Sindarin,Tengwar,General Use,1277686976
athrad-angren,Sindarin,Tengwar,General Use,1277686922
the-wold,English,Tengwar,General Use,1277685931
rhun,Sindarin,Tengwar,General Use,1277685771
rhudaur,Sindarin,Tengwar,General Use,1277685739
rhovanion,Sindarin,Tengwar,General Use,1277685698
minhiriath,Sindarin,Tengwar,General Use,1277685585
methedras,Sindarin,Tengwar,General Use,1277685464
i-drann,Sindarin,Tengwar,General Use,1277685323
himling,Sindarin,Tengwar,General Use,1277685237
gondor,Sindarin,Tengwar,General Use,1277685162
forodwaith,Sindarin,Tengwar,General Use,1277685061
folde,English,Tengwar,General Use,1277684967
fanuidhol,Sindarin,Tengwar,General Use,1277684879
eryn-teryg,Sindarin,Tengwar,General Use,1277684843
eryn-iaur,Sindarin,Tengwar,General Use,1277684801
eriador,Sindarin,Tengwar,General Use,1277684767
ered-nimrais,Sindarin,Tengwar,General Use,1277684695
ered-lindon,Sindarin,Tengwar,General Use,1277684525
enedhwaith,Sindarin,Tengwar,General Use,1277684423
east-emnet,English,Tengwar,General Use,1277684277
celebdil,Sindarin,Tengwar,General Use,1277684229
calenardhon,Sindarin,Tengwar,General Use,1277683077
bree,English,Tengwar,General Use,1277683019
baranduiniant,Sindarin,Tengwar,General Use,1277682871
