Canonical	Names	Description	Source	Link
alqualonde	Alqualondë	The Haven of the Swans	Encyclopedia Arda	http://www.glyphweb.com/arda/a/alqualonde.html
alqualonde	Haven of the Swans	The haven of the Teleri on the shores of Aman	Encyclopedia Arda	http://www.glyphweb.com/arda/h/havenoftheswans.html
aman	Aman		Encyclopedia Arda	http://www.glyphweb.com/arda/a/aman.html
aman	Far West / Deathless Lands / Ancient West / Aman		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Aman
amon-anwar	Amon Anwar	The Hill of Awe	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonanwar.html
amon-anwar	Eilenaer	The peak later known as the Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/e/eilenaer.html
amon-anwar	Halifirien	The mountain of the Firien Wood	Encyclopedia Arda	http://www.glyphweb.com/arda/h/halifirien.html
amon-anwar	Hill of Anwar	An old name for the Halifirien	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hillofanwar.html
amon-anwar	Hill of Awe	The Halifirien on the borders of Rohan	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hillofawe.html
amon-anwar	Halifirien		The Thain's Book	http://www.tuckborough.net/hills.html#Halifirien
amon-anwar	Amon Anwar / Hill of Awe / Halifirien		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Anwar
amon-anwar	Eilenaer		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Eilenaer
amon-craban	Ravenhill	An old guard-post of Erebor	Encyclopedia Arda	http://www.glyphweb.com/arda/r/ravenhill.html
amon-craban	Ravenhill		The Thain's Book	http://www.tuckborough.net/hills.html#Ravenhill
amon-craban	Ravenhill		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ravenhill
amon-darthir	Amon Darthir	One of the Mountains of Shadow	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amondarthir.html
amon-din	Amon Dîn	The Silent Hill	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amondin.html
amon-din	Silent Hill	The Beacon-hill of Amon Dîn	Encyclopedia Arda	http://www.glyphweb.com/arda/s/silenthill.html
amon-din	Amon Dîn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_D%C3%AEn
amon-ereb	Amon Ereb	The lonely hill of East Beleriand	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonereb.html
amon-ereb	Amon Ereb		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Ereb
amon-ethir	Amon Ethir	The Spyhill of Nargothrond	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonethir.html
amon-ethir	Amon Ethir / Hill of Spies		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Ethir
amon-gwareth	Amon Gwareth	The hill on which Gondolin stood	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amongwareth.html
amon-hen	Amon Hen	The Hill of Sight	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonhen.html
amon-hen	Hill of Sight	A name for Amon Hen	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hillofsight.html
amon-hen	Hill of the Eye	"Amon Hen, the Hill of Sight"	Encyclopedia Arda	http://www.glyphweb.com/arda/h/hilloftheeye.html
amon-hen	Seat of Amon Hen		Encyclopedia Arda	http://www.glyphweb.com/arda/s/seatofamonhen.html
amon-hen	Amon Hen		The Thain's Book	http://www.tuckborough.net/hills.html#Amon_Hen
amon-hen	Hill of Seeing / Hill of the Eye / Amon Hen		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Hen
amon-lanc	Amon Lanc	The hill beneath Dol Guldur	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonlanc.html
amon-lanc	Amon Lanc		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Lanc
amon-lhaw	Amon Lhaw	The Hill of Hearing in the eastern Emyn Muil	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonlhaw.html
amon-lhaw	Amon Lhaw		The Thain's Book	http://www.tuckborough.net/hills.html#Lhaw
amon-lhaw	Hill of Hearing / Amon Lhaw / Hill of the Ear		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_Lhaw
amon-obel	Amon Obel	The fortified hill at the heart of Brethil	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonobel.html
amon-rudh	Amon Rúdh / Amon Rûdh	The Bald Hill	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonrudh.html
amon-rudh	Bald Hill	The rocky height of Amon Rûdh	Encyclopedia Arda	http://www.glyphweb.com/arda/b/baldhill.html
amon-rudh	Amon Rûdh / Sharabhund		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Amon_R%C3%BBdh
amon-sul	Amon Súl / Amon Sûl	The hill that Men called Weathertop	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonsul.html
amon-sul	Tower of Amon Súl / Tower of Amon Sûl	An ancient stronghold of Arnor	Encyclopedia Arda	http://www.glyphweb.com/arda/t/towerofamonsul.html
amon-sul	Weathertop	Chief of the Weather Hills	Encyclopedia Arda	http://www.glyphweb.com/arda/w/weathertop.html
amon-sul	Weathertop & the Weather Hills		The Thain's Book	http://www.tuckborough.net/hills.html#Weathertop
amon-sul	Amon Sûl / Weathertop		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Weathertop
amon-uilos	Amon Uilos	Mount Everwhite	Encyclopedia Arda	http://www.glyphweb.com/arda/a/amonuilos.html
anach	Anach	The road out of Taur-nu-Fuin	Encyclopedia Arda	http://www.glyphweb.com/arda/a/anach.html
andeithel	Langwell / River Langwell	One of the sources of the Great River	Encyclopedia Arda	http://www.glyphweb.com/arda/l/langwell.html
andeithel	Langwell		The Thain's Book	http://www.tuckborough.net/rivers.html#Langwell
andeithel	Langwell		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Langwell
andlo	Long Marshes	The marshlands east of Mirkwood	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longmarshes.html
andnen	Long Lake	The lake on which Esgaroth stood	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longlake.html
andnen	Long Lake		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Long_Lake
andor	Andor	The Land of Gift	Encyclopedia Arda	http://www.glyphweb.com/arda/a/andor.html
andram	Andram	The Long Wall	Encyclopedia Arda	http://www.glyphweb.com/arda/a/andram.html
andram	Long Wall	The Andram of Beleriand	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longwall.html
andram	Andram / Long Wall		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Andram
andrast	Andrast	The peninsula of Ras Morthil	Encyclopedia Arda	http://www.glyphweb.com/arda/a/andrast.html
andrast	Long Cape	The cape to the north of the Bay of Belfalas	Encyclopedia Arda	http://www.glyphweb.com/arda/l/longcape.html
andrast	Andrast		The Thain's Book	http://www.tuckborough.net/coastal.html#Andrast
andrast	Andrast		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Andrast
andrath	Andrath	The Greenway south from Bree	Encyclopedia Arda	http://www.glyphweb.com/arda/a/andrath.html
andrath	Great Road (north to south)	The North-South Road that joined the Two Kingdoms	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatroad2.html
andrath	North-South Road	The ancient road that linked the North- and South-kingdoms	Encyclopedia Arda	http://www.glyphweb.com/arda/n/northsouthroad.html
andrath	Andrath		The Thain's Book	http://www.tuckborough.net/caves.html#Andrath
andrath	Andrath		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Andrath
androth	Androth	Refuge of the Grey-elves of Mithrim	Encyclopedia Arda	http://www.glyphweb.com/arda/a/androth.html
anduin	Anduin / River Anduin	The Great River	Encyclopedia Arda	http://www.glyphweb.com/arda/a/anduin.html
anduin	Great River	The River Anduin	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatriver.html
anduin	Langflood	The Mannish name for the Anduin	Encyclopedia Arda	http://www.glyphweb.com/arda/l/langflood.html
anduin	"Anduin, The Great River"		The Thain's Book	http://www.tuckborough.net/rivers.html#Anduin
anduin	Anduin / Langflood / Great River		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Anduin
anduine	Andúnië	The shoreland city ruled by the ancestors of Elendil	Encyclopedia Arda	http://www.glyphweb.com/arda/a/andunie.html
andune	Anadúnë / Anadûnê	One of the many names of Númenor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/anadune.html
andunie	Andúnië		Tolkien Gateway	http://www.tolkiengateway.net/wiki/And%C3%BAni%C3%AB
anfalas	Anfalas		Encyclopedia Arda	http://www.glyphweb.com/arda/a/anfalas.html
anfalas	Langstrand		Encyclopedia Arda	http://www.glyphweb.com/arda/l/langstrand.html
anfalas	Anfalas		The Thain's Book	http://www.tuckborough.net/lands.html#Anfalas
anfalas	Anfalas		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Anfalas
anfalas	Langstrand		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Langstrand
anfauglith	Anfauglith	The Gasping Dust north of Beleriand	Encyclopedia Arda	http://www.glyphweb.com/arda/a/anfauglith.html
anfauglith	Ard-galen	The former name of Anfauglith	Encyclopedia Arda	http://www.glyphweb.com/arda/a/ardgalen.html
angband	Angband	The Hells of Iron	Encyclopedia Arda	http://www.glyphweb.com/arda/a/angband.html
anghabar	Anghabar	An iron mine among the Encircling Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/a/anghabar.html
angmar	Angmar		Encyclopedia Arda	http://www.glyphweb.com/arda/a/angmar.html
angmar	Angmar		The Thain's Book	http://www.tuckborough.net/lands.html#Angmar
angmar	Angmar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Angmar
angren	Angren / Sîr Angren	The Elvish name for the River Isen	Encyclopedia Arda	http://www.glyphweb.com/arda/a/angren.html
angren	Isen / River Isen	The iron river that flowed past the gates of Isengard	Encyclopedia Arda	http://www.glyphweb.com/arda/i/isen.html
angren	Isen		The Thain's Book	http://www.tuckborough.net/rivers.html#Isen
angren	Isen / Angren		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Isen
angrenost	Angrenost	The ringed fortress also called Isengard	Encyclopedia Arda	http://www.glyphweb.com/arda/a/angrenost.html
angrenost	Isengard	The fortress of Saruman	Encyclopedia Arda	http://www.glyphweb.com/arda/i/isengard.html
angrenost	Orthanc / Isengard / Angrenost / Ring of Isengard / Circle of Isengard / Isengard & Orthanc / Treegarth of Orthanc		The Thain's Book	http://www.tuckborough.net/isengard.html
angrenost	Angrenost / Isengard		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Isengard
annen	Long Lake		The Thain's Book	http://www.tuckborough.net/lakes.html#Long
annon-angrenost	Gate of Isengard	The guarded archway that led to Orthanc	Encyclopedia Arda	http://www.glyphweb.com/arda/g/gateofisengard.html
annon-caradhras	Redhorn Gate	The 'gate' of the Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/r/redhorngate.html
annon-caradhras	Redhorn Pass	The pass beneath Caradhras	Encyclopedia Arda	http://www.glyphweb.com/arda/r/redhornpass.html
annon-caradhras	Redhorn Gate & Dimrill Stair		The Thain's Book	http://www.tuckborough.net/caves.html#Redhorn
annon-caradhras	Caradhras / Barazinbar / Redhorn Gate / Redhorn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Caradhras
annon-en-gelydh	Annon-in-Gelydh	The hidden Gate of the Noldor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/annoningelydh.html
annon-erebor	Front Gate	The entrance to Erebor	Encyclopedia Arda	http://www.glyphweb.com/arda/f/frontgate.html
annon-erebor	Gate of Erebor	The Front Gate of the Lonely Mountain	Encyclopedia Arda	http://www.glyphweb.com/arda/g/gateoferebor.html
annon-erebor	Front Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Front_Gate
annon-fangorn	Treebeard's Hill	A rocky hill in eastern Fangorn	Encyclopedia Arda	http://www.glyphweb.com/arda/t/treebeardshill.html
annon-gondolin	Great Gate of Gondolin	Maeglin's Gate of Steel	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatgateofgondolin.html
annon-moria	Dimrill Gate		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Dimrill-Gate
annon-moria	East-gate / Dimrill Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Great_Gates
annon-thol	Helm’s Gate	The guarded entrance to Helm's Deep	Encyclopedia Arda	http://www.glyphweb.com/arda/h/helmsgate.html
annon-thol	Helm's Gate		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Helm%27s_Gate
annon-tirith	Hill of Guard		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Hill_of_Guard
annonion-minas-tirith	Great Gate/Seven Gates of Minas Tirith		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Great-GateMT
annuminas	Annúminas	Ancient seat of the Kings of Arnor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/annuminas.html
annuminas	Annúminas		The Thain's Book	http://www.tuckborough.net/towns.html#Annúminas
annuminas	Annúminas		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ann%C3%BAminas
anorien	Anórien		Encyclopedia Arda	http://www.glyphweb.com/arda/a/anorien.html
anorien	Sunlending		Encyclopedia Arda	http://www.glyphweb.com/arda/s/sunlending.html
anorien	Anórien		The Thain's Book	http://www.tuckborough.net/lands.html#Anórien
anorien	Anórien		Tolkien Gateway	http://www.tolkiengateway.net/wiki/An%C3%B3rien
archet	Archet	Forest village of Bree-land	Encyclopedia Arda	http://www.glyphweb.com/arda/a/archet.html
archet	Archet		The Thain's Book	http://www.tuckborough.net/towns.html#Archet
archet	Archet		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Archet
ardhon-iaur-arnor	Arnor		Encyclopedia Arda	http://www.glyphweb.com/arda/a/arnor.html
ardhon-iaur-arnor	North-kingdom		Encyclopedia Arda	http://www.glyphweb.com/arda/n/northkingdom.html
ardhon-iaur-arnor	North-realm		Encyclopedia Arda	http://www.glyphweb.com/arda/n/northrealm.html
ardhon-iaur-arnor	North Kingdom / Arnor		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Arnor
argirith	Cirith Forn en Andrath	The High Pass through the Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/c/cirithfornenandrath.html
argirith	High Pass	The northern pass through the Misty Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/h/highpass.html
argirith	High Pass / Pass of Imladris / Cirith Forn en Andrath		The Thain's Book	http://www.tuckborough.net/caves.html#High%20Pass
argirith	High Pass / Cirith Forn en Andrath		Tolkien Gateway	http://www.tolkiengateway.net/wiki/High_Pass
argonath	Argonath	The Pillars of the Kings	Encyclopedia Arda	http://www.glyphweb.com/arda/a/argonath.html
argonath	Gates of Argonath	The Pillars of the Kings	Encyclopedia Arda	http://www.glyphweb.com/arda/g/gatesofargonath.html
argonath	The Argonath		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Argonath
argonath	Pillars of the King / Argonath		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Argonath
armenlos	Armenelos	The royal city of Númenor	Encyclopedia Arda	http://www.glyphweb.com/arda/a/armenelos.html
aros	Aros / River Aros	The southern border-river of Doriath	Encyclopedia Arda	http://www.glyphweb.com/arda/a/aros.html
arossiach	Arossiach	The crossing of the Aros	Encyclopedia Arda	http://www.glyphweb.com/arda/a/arossiach.html
arthedain	Arthedain		Encyclopedia Arda	http://www.glyphweb.com/arda/a/arthedain.html
arthedain	Arnor / Rhudaur / Cardolan / Arthedain / North-kingdom of Arnor		The Thain's Book	http://www.tuckborough.net/arnor.html
arthedain	Arthedain		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Arthedain
arthorien	Arthórien		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Arth%C3%B3rien
ascar	Ascar / River Ascar	Last resting-place of the treasures of Doriath	Encyclopedia Arda	http://www.glyphweb.com/arda/a/ascar.html
ascar	Goldenbed	The later name of the River Ascar	Encyclopedia Arda	http://www.glyphweb.com/arda/g/goldenbed.html
athrad-angren	Athrad Angren	The Fords of Isen	Encyclopedia Arda	http://www.glyphweb.com/arda/a/athradangren.html
athrad-angren	Crossings of Isen	The Fords across the River Isen	Encyclopedia Arda	http://www.glyphweb.com/arda/c/crossingsofisen.html
athrad-angren	Ethraid Engrin	An old name for the Fords of Isen	Encyclopedia Arda	http://www.glyphweb.com/arda/e/ethraidengrin.html
athrad-angren	Fords of Isen	The crossing-point of the River Isen	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fordsofisen.html
athrad-angren	Isen		The Thain's Book	http://www.tuckborough.net/rivers.html#Isen
athrad-angren	Athrad Angren		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Athrad_Angren
athrad-angren	Ethraid Engrin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ethraid_Engrin
athrad-angren	Fords of Isen		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Fords_of_Isen
athrad-carag	Ford of Carrock	A crossing of the upper Anduin	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fordofcarrock.html
athrad-iaur	Old Ford	The main crossing of the Anduin in the north	Encyclopedia Arda	http://www.glyphweb.com/arda/o/oldford.html
athrad-iaur	"Anduin, The Great River"		The Thain's Book	http://www.tuckborough.net/rivers.html#Anduin
athrad-iaur	Old Ford		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Old_Ford
athrad-imladris	Ford of Bruinen	The crossing of the Loudwater	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fordofbruinen.html
athrad-imladris	Ford of Rivendell	The crossing of the Bruinen	Encyclopedia Arda	http://www.glyphweb.com/arda/f/fordofrivendell.html
athrad-imladris	Bruinen (Loudwater)		The Thain's Book	http://www.tuckborough.net/rivers.html#Bruinen
athrad-imladris	Ford of Bruinen		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Ford_of_Bruinen
athrad-onodlo	Entwade	The crossings of Entwash	Encyclopedia Arda	http://www.glyphweb.com/arda/e/entwade.html
athrad-onodlo	Entwash		The Thain's Book	http://www.tuckborough.net/rivers.html#Entwash
athrad-onodlo	Entwade		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Entwade
avallone	Avallónë	The haven of Eressëa	Encyclopedia Arda	http://www.glyphweb.com/arda/a/avallone.html
avallone	Haven of the Eldar / Avallónë		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Avall%C3%B3n%C3%AB
avathar	Avathar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Avathar
bag-end	Bag End	The great smial beneath Hobbiton Hill	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bagend.html
bag-end	Bag End		The Thain's Book	http://www.tuckborough.net/dwellings.html#Bag%20End
bag-end	Bag End		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Bag_End
bagshot-row	Bagshot Row	The row of smials beneath Bag End	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bagshotrow.html
bagshot-row	New Row / Bagshot Row / Sharkey's End / Better Smials / Battle Gardens / Number 3 Bagshot Row		The Thain's Book	http://www.tuckborough.net/dwellings.html#Bagshot%20Row
bagshot-row	Bagshot Row		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Bagshot_Row
bair-nestad	Houses of Healing / Bair Nestad		The Thain's Book	http://www.tuckborough.net/pubbldg.html#Houses%20of%20Healing
bair-nestad	Houses of Healing		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Houses_of_Healing
balar	Balar / Isle of Balar		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Isle_of_Balar
bamfurlong	Bamfurlong	The home of Farmer Maggot	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bamfurlong.html
bamfurlong	Bamfurlong		The Thain's Book	http://www.tuckborough.net/dwellings.html#Bamfurlong
bamfurlong	Maggot's Farm / Bamfurlong		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Bamfurlong
bar-en-danwedh	Bar-en-Danwedh	The House of Ransom	Encyclopedia Arda	http://www.glyphweb.com/arda/b/barendanwedh.html
bar-en-nibin-noeg	Bar-en-Nibin-noeg	The house of Mîm	Encyclopedia Arda	http://www.glyphweb.com/arda/b/barennibinnoeg.html
bar-erib	Bar-erib	A camp of Dor-Cúarthol	Encyclopedia Arda	http://www.glyphweb.com/arda/b/barerib.html
barad-dur	Barad-dúr / Barad-dûr	The Dark Tower of Sauron	Encyclopedia Arda	http://www.glyphweb.com/arda/b/baraddur.html
barad-dur	Dark Tower	The Barad-dûr	Encyclopedia Arda	http://www.glyphweb.com/arda/d/darktower.html
barad-dur	Lugbúrz	Saurons Dark Tower	Encyclopedia Arda	http://www.glyphweb.com/arda/l/lugburz.html
barad-dur	Barad-dûr		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Barad-d%C3%BBr
barad-dur	Lugbúrz		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Lugb%C3%BArz
barad-durin	Durin’s Tower / Durin's Tower	The tower on Celebdils peak	Encyclopedia Arda	http://www.glyphweb.com/arda/d/durinstower.html
barad-durin	Durin's Tower		The Thain's Book	http://www.tuckborough.net/fortress.html#Durin's
barad-durin	Durin's Tower		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Durin%27s_Tower
barad-eithel	Barad Eithel	The fortress at the well of Sirion	Encyclopedia Arda	http://www.glyphweb.com/arda/b/baradeithel.html
barad-eithel	Barad Eithel		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Barad_Eithel
barad-nimras	Barad Nimras	Finrods coastal watchtower	Encyclopedia Arda	http://www.glyphweb.com/arda/b/baradnimras.html
barad-nimras	Barad Nimras		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Barad_Nimras
baranduin	Baranduin / River Baranduin	The river called Brandywine by the Shire-hobbits	Encyclopedia Arda	http://www.glyphweb.com/arda/b/baranduin.html
baranduin	Branda-nîn	The Hobbits name for the Brandywine	Encyclopedia Arda	http://www.glyphweb.com/arda/b/brandanin.html
baranduin	Brandywine / Brandywine River	The eastern border-river of the Shire	Encyclopedia Arda	http://www.glyphweb.com/arda/b/brandywine.html
baranduin	Brandywine		The Thain's Book	http://www.tuckborough.net/rivers.html#Brandywine
baranduin	Baranduin		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Baranduin
baranduin	Branda-nîn		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Branda-n%C3%AEn
baranduiniant	Brandywine Bridge	The point where the East Road crossed the Brandywine	Encyclopedia Arda	http://www.glyphweb.com/arda/b/brandywinebridge.html
baranduiniant	Bridge of Stonebows	The ancient name for the Brandywine Bridge	Encyclopedia Arda	http://www.glyphweb.com/arda/b/bridgeofstonebows.html
baranduiniant	Brandywine Bridge		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Brandywine-Bridge
baranduiniant	Brandywine Bridge		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Brandywine_Bridge
baranduiniant	Bridge of Stonebows		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Bridge_of_Stonebows
barannor	Dunland		Encyclopedia Arda	http://www.glyphweb.com/arda/d/dunland.html
barannor	Dunland		The Thain's Book	http://www.tuckborough.net/lands.html#Dunland
barannor	Dunland		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Dunland
barannorath	Brown Lands		Encyclopedia Arda	http://www.glyphweb.com/arda/b/brownlands.html
barannorath	Brown Lands		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Brown_Lands
barrowfield	Barrowfield	The grave-ground of the Kings of Rohan	Encyclopedia Arda	http://www.glyphweb.com/arda/b/barrowfield.html
barrowfield	Barrowfield		The Thain's Book	http://www.tuckborough.net/otherbuildings.html#Barrowfield
barrowfield	Barrowfield		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Barrowfield
belegaer	Belegaer	The Great Sea	Encyclopedia Arda	http://www.glyphweb.com/arda/b/belegaer.html
belegaer	Great Sea of the West / Great Sea (of the West)	The immense ocean to the west of Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatsea.html
belegaer	Great Water	A name for the wide ocean of Belegaer	Encyclopedia Arda	http://www.glyphweb.com/arda/g/greatwater.html
belegaer	Western Sea	The Great Sea west of Middle-earth	Encyclopedia Arda	http://www.glyphweb.com/arda/w/westernsea.html
belegaer	Belegaer		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Belegaer
belegost	Belegost	A citadel of the Dwarves in the Blue Mountains	Encyclopedia Arda	http://www.glyphweb.com/arda/b/belegost.html
belegost	Belegost / Gabilgathod		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Belegost
beleriand	Beleriand		Encyclopedia Arda	http://www.glyphweb.com/arda/b/beleriand.html
beleriand	Beleriand		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Beleriand
beleriand-rhunen	East Beleriand		Tolkien Gateway	http://www.tolkiengateway.net/wiki/East_Beleriand
belfalas	Belfalas		Encyclopedia Arda	http://www.glyphweb.com/arda/b/belfalas.html
belfalas	Belfalas		The Thain's Book	http://www.tuckborough.net/lands.html#Belfalas
belfalas	Belfalas		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Belfalas
beorn	Beorn		The Thain's Book	http://www.tuckborough.net/othermen.html#Beorn
beorn	Beorn's House		Tolkien Gateway	http://www.tolkiengateway.net/wiki/Beorn%27s_Hall
